week,date,session,time,subject,content,learning_goal,instructor
2,2026-02-09,오후,13:00 ~ 18:00,Front-End Programming,React.js 기반의 웹 사이트 구현,React 컴포넌트 구조와 상태 관리를 이해하고 기본 웹 사이트를 구현할 수 있다,김영아
2,2026-02-10,오전,09:00 ~ 12:00,Front-End Programming,React.js 기반의 웹 사이트 구현,React 컴포넌트 구조와 상태 관리를 이해하고 기본 웹 사이트를 구현할 수 있다,김영아
2,2026-02-10,오후,13:00 ~ 18:00,Front-End Programming,React.js 기반의 웹 사이트 구현,React 컴포넌트 구조와 상태 관리를 이해하고 기본 웹 사이트를 구현할 수 있다,김영아
2,2026-02-11,오전,09:00 ~ 12:00,Front-End Programming,React.js 기반의 웹 사이트 구현,React 컴포넌트 구조와 상태 관리를 이해하고 기본 웹 사이트를 구현할 수 있다,김영아
2,2026-02-11,오후,13:00 ~ 18:00,Front-End Programming,React.js 기반의 웹 사이트 구현,React 컴포넌트 구조와 상태 관리를 이해하고 기본 웹 사이트를 구현할 수 있다,김영아
2,2026-02-12,오전,09:00 ~ 12:00,Front-End Programming,React.js 기반의 웹 사이트 구현,React 컴포넌트 구조와 상태 관리를 이해하고 기본 웹 사이트를 구현할 수 있다,김영아
2,2026-02-12,오후,13:00 ~ 18:00,Front-End Programming,컴포넌트 스타일링(테일윈드 등),Tailwind CSS를 활용하여 React 컴포넌트를 스타일링할 수 있다,김영아
2,2026-02-13,오전,09:00 ~ 12:00,Front-End Programming,컴포넌트 스타일링(테일윈드 등),Tailwind CSS를 활용하여 React 컴포넌트를 스타일링할 수 있다,김영아
2,2026-02-13,오후,13:00 ~ 18:00,Front-End Programming,컴포넌트 스타일링(테일윈드 등),Tailwind CSS를 활용하여 React 컴포넌트를 스타일링할 수 있다,김영아
3,2026-02-23,오전,09:00 ~ 12:00,Front-End Programming,React Query 와 같은 서버상태 관리도구 사용,React Query를 활용하여 서버 상태를 관리하고 비동기 데이터를 처리할 수 있다,김영아
3,2026-02-23,오후,13:00 ~ 18:00,Front-End Programming,React Query 와 같은 서버상태 관리도구 사용,React Query를 활용하여 서버 상태를 관리하고 비동기 데이터를 처리할 수 있다,김영아
3,2026-02-24,오전,09:00 ~ 12:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,HTTP 프로토콜의 구조와 요청/응답 방식을 이해하고 웹 통신 흐름을 설명할 수 있다,김영아
3,2026-02-24,오후,13:00 ~ 18:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,HTTP 프로토콜의 구조와 요청/응답 방식을 이해하고 웹 통신 흐름을 설명할 수 있다,김영아
3,2026-02-25,오전,09:00 ~ 12:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,HTTP 프로토콜의 구조와 요청/응답 방식을 이해하고 웹 통신 흐름을 설명할 수 있다,김영아
3,2026-02-25,오후,13:00 ~ 18:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,HTTP 프로토콜의 구조와 요청/응답 방식을 이해하고 웹 통신 흐름을 설명할 수 있다,김영아
3,2026-02-26,오전,09:00 ~ 12:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,HTTP 프로토콜의 구조와 요청/응답 방식을 이해하고 웹 통신 흐름을 설명할 수 있다,김영아
3,2026-02-26,오후,13:00 ~ 18:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,HTTP 프로토콜의 구조와 요청/응답 방식을 이해하고 웹 통신 흐름을 설명할 수 있다,김영아
3,2026-02-27,오전,09:00 ~ 12:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,HTTP 프로토콜의 구조와 요청/응답 방식을 이해하고 웹 통신 흐름을 설명할 수 있다,김영아
3,2026-02-27,오후,13:00 ~ 18:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,HTTP 프로토콜의 구조와 요청/응답 방식을 이해하고 웹 통신 흐름을 설명할 수 있다,김영아
